SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,LATITUDE,LONGITUDE
,Condo/Co-op,2633 N Hermitage Ave Ph 1,Chicago,IL,60614.0,2850000.0,5.0,5.5,5200.0,,2020.0,182.0,548.0,1584.0,41.9296886,-87.6716195
,Vacant Land,2758 N Mozart St,Chicago,IL,60647.0,2250000.0,,,,12978.0,,182.0,,,41.931868,-87.699164
,Multi-Family (2-4 Unit),1839 W Henderson St,Chicago,IL,60657.0,1199000.0,7.0,4.0,,3125.0,,182.0,,,41.9421672,-87.6754823
,Multi-Family (5+ Unit),3250 N Laramie Ave,Chicago,IL,60641.0,779000.0,6.0,6.0,,,1929.0,182.0,,,41.9402447,-87.7569406
,Condo/Co-op,175 E Delaware Pl #7805,Chicago,IL,60611.0,799000.0,3.0,2.0,1720.0,,1970.0,183.0,465.0,1619.0,41.8990143,-87.6228548
,Townhouse,2846 W Walnut St,Chicago,IL,60612.0,75000.0,1.0,1.5,1000.0,1500.0,1893.0,183.0,75.0,,41.88563,-87.6982618
,Single Family Residential,4905 N Ozark Ave,Norridge,IL,60706.0,335000.0,3.0,1.0,981.0,5250.0,1956.0,183.0,341.0,,41.9688615,-87.8202375
,Multi-Family (2-4 Unit),7653 S Kingston Ave,Chicago,IL,60649.0,410000.0,9.0,3.0,,3690.0,1925.0,185.0,,,41.7556932,-87.5623933
,Single Family Residential,6071 N Whipple St,Chicago,IL,60659.0,375900.0,3.0,2.5,1636.0,4375.0,1953.0,185.0,230.0,,41.9923585,-87.7052629
,Condo/Co-op,1755 E 55th St #1002,Chicago,IL,60637.0,110000.0,1.0,1.0,880.0,,1926.0,185.0,125.0,1184.0,41.7949183,-87.5815604
,Single Family Residential,19 E 101st St,Chicago,IL,60628.0,120900.0,2.0,1.0,975.0,3747.0,,185.0,124.0,,41.7106216,-87.6227869
,Single Family Residential,612 N Ogden Ave,Chicago,IL,60642.0,1299990.0,6.0,3.0,3473.0,3484.0,1903.0,185.0,374.0,,41.8930039,-87.6576528
,Single Family Residential,1810 W Haddon Ave,Chicago,IL,60622.0,799000.0,4.0,2.0,864.0,2210.0,1885.0,185.0,925.0,,41.9025366,-87.6730326
,Single Family Residential,530 E 44th Pl,Chicago,IL,60653.0,749900.0,4.0,3.5,3000.0,1942.0,2023.0,185.0,250.0,,41.8141348,-87.6128111
,Condo/Co-op,3011 Paris Ave #108,River Grove,IL,60171.0,184900.0,2.0,1.0,1050.0,,1970.0,186.0,176.0,281.0,41.935033,-87.829514
,Townhouse,4840 S Dorchester Ave #4,Chicago,IL,60615.0,824999.0,4.0,3.5,,24321.0,2022.0,186.0,,250.0,41.8064482,-87.5926367
,Single Family Residential,415 W Surf St,Chicago,IL,60657.0,3975000.0,12.0,11.0,14893.0,6050.0,1910.0,187.0,267.0,,41.9341181,-87.640188
,Vacant Land,13300 S Calumet Ave,Chicago,IL,60628.0,25000.0,,,,8276.0,,187.0,,,41.6535154,-87.614299
,Condo/Co-op,445 E North Water St Unit E2705,Chicago,IL,60611.0,4500000.0,3.0,4.0,7000.0,,2002.0,187.0,643.0,2885.0,41.8893632,-87.6162621
,Single Family Residential,1845 N Orchard St,Chicago,IL,60614.0,5600000.0,6.0,6.0,8380.0,3240.0,2008.0,187.0,668.0,,41.9151648,-87.6456651
,Multi-Family (2-4 Unit),7627 S Coles Ave,Chicago,IL,60649.0,209900.0,5.0,2.0,,,1885.0,187.0,,,41.7577241,-87.5556347
,Multi-Family (2-4 Unit),10546 S State St,Chicago,IL,60628.0,48000.0,4.0,2.0,,,1895.0,187.0,,,41.7021195,-87.62367
,Vacant Land,316 W 59th Pl,Chicago,IL,60621.0,19999.0,,,,3600.0,,187.0,,,41.7865798,-87.6335738
,Condo/Co-op,100 E Huron St #1703,Chicago,IL,60611.0,499000.0,2.0,2.0,1481.0,,1991.0,187.0,337.0,1221.0,41.895034,-87.6250256
,Vacant Land,6845 S Ridgeland Ave,Chicago,IL,60649.0,54900.0,,,,3484.0,,187.0,,,41.7701751,-87.5823131
,Multi-Family (2-4 Unit),1142 N Monticello Ave,Chicago,IL,60651.0,295000.0,5.0,2.0,,3125.0,1910.0,187.0,,,41.9022163,-87.7179954
,Condo/Co-op,1110 N Lake Shore Dr Unit 21N,Chicago,IL,60611.0,725000.0,3.0,2.5,2649.0,,1970.0,187.0,274.0,3201.0,41.9028792,-87.6249697
,Multi-Family (2-4 Unit),4865 N Kilbourn Ave,Chicago,IL,60630.0,579000.0,5.0,3.0,,,1960.0,187.0,,,41.9695953,-87.7405645
,Condo/Co-op,117 E 60th St #3,Chicago,IL,60637.0,110000.0,2.0,1.0,800.0,,,188.0,138.0,167.0,41.7854436,-87.6215225
,Condo/Co-op,111 E Chestnut St Unit 28H,Chicago,IL,60611.0,425000.0,1.0,1.0,1000.0,,1972.0,188.0,425.0,695.0,41.8978884,-87.6251938
,Multi-Family (2-4 Unit),7951 S Morgan St,Chicago,IL,60620.0,229000.0,6.0,2.0,,4092.0,1918.0,188.0,,,41.7491038,-87.6485543
,Condo/Co-op,300 N State St #5125,Chicago,IL,60654.0,259900.0,0.0,1.0,,,,188.0,,496.0,41.8881116,-87.628363
,Single Family Residential,3635 S Hermitage Ave,Chicago,IL,60609.0,249900.0,5.0,2.0,640.0,3001.0,1894.0,188.0,390.0,,41.8277225,-87.6688336
,Vacant Land,1614 N Central Park Ave,Chicago,IL,60647.0,189900.0,,,,4791.0,,188.0,,,41.9099456,-87.7658752
,Multi-Family (2-4 Unit),8645 S Manistee Ave,Chicago,IL,60617.0,215000.0,5.0,2.5,,3125.0,1917.0,188.0,,,41.7377527,-87.5572474
,Single Family Residential,701 E 91st Pl,Chicago,IL,60619.0,124900.0,3.0,1.5,1944.0,,1948.0,188.0,64.0,,41.7282151,-87.6068639
,Condo/Co-op,100 E Huron St #1101,Chicago,IL,60611.0,499000.0,1.0,1.5,1026.0,,1991.0,189.0,486.0,800.0,41.895034,-87.6250256
,Parking,655 W Irving Park Rd Unit T-8,Chicago,IL,60613.0,24000.0,,,,144.0,1975.0,189.0,,62.0,41.9543734,-87.6469805
,Single Family Residential,4130 N Kolmar Ave,Chicago,IL,60641.0,425000.0,3.0,1.5,1377.0,3125.0,1905.0,189.0,309.0,,41.9562641,-87.7420969
,Vacant Land,2832 W Flournoy St,Chicago,IL,60612.0,39000.0,,,,3049.0,,189.0,,,41.873136,-87.697456
,Multi-Family (2-4 Unit),10901 S Michigan Ave,Chicago,IL,60628.0,280000.0,5.0,2.5,,3049.0,1908.0,189.0,,,41.696104,-87.620551
,Condo/Co-op,363 E Wacker Dr #1303,Chicago,IL,60601.0,1750000.0,2.0,2.5,2095.0,,2020.0,190.0,835.0,1095.0,41.8874508,-87.6174598
,Condo/Co-op,600 N Lake Shore Dr #4011,Chicago,IL,60611.0,1396000.0,3.0,3.0,2124.0,,2008.0,190.0,657.0,1297.0,41.892964,-87.6157068
,Parking,510 W Erie St Unit P-38,Chicago,IL,60654.0,30000.0,,,,162.0,2002.0,190.0,,59.0,41.8939986,-87.642167
,Condo/Co-op,810 Dobson St Unit 2B,Evanston,IL,60202.0,188000.0,2.0,1.0,1200.0,,1968.0,191.0,157.0,334.0,42.0201292,-87.6834209
,Timeshare,9602 S Hoxie Ave,Chicago,IL,60617.0,40000.0,2.0,1.0,937.0,3125.0,1946.0,191.0,43.0,,41.7201347,-87.5613703
,Multi-Family (2-4 Unit),4232 S Langley Ave,Chicago,IL,60653.0,355000.0,7.0,3.0,,3125.0,,191.0,,,41.817579,-87.6095118
,Single Family Residential,10153 S Saint Lawrence Ave,Chicago,IL,60628.0,199900.0,3.0,2.0,1157.0,3746.0,1956.0,191.0,173.0,,41.7095072,-87.6086674
,Vacant Land,827 E 79th St,Chicago,IL,60619.0,140000.0,,,,19220.0,,191.0,,,41.751002,-87.604289
,Parking,3555 W Ainslie St Unit P1,Chicago,IL,60625.0,17000.0,,,,,,191.0,,25.0,41.9700426,-87.718012
,Condo/Co-op,6530 W Irving Park Rd #607,Chicago,IL,60634.0,240000.0,2.0,2.0,1200.0,,1994.0,191.0,200.0,418.0,41.953285,-87.790441
,Condo/Co-op,6169 N Wolcott Ave Unit 3B,Chicago,IL,60660.0,65000.0,2.0,1.0,,,1949.0,191.0,,575.0,41.9939288,-87.676227
,Condo/Co-op,800 N Michigan Ave #4702,Chicago,IL,60611.0,2998000.0,3.0,3.5,3250.0,,2000.0,191.0,922.0,2218.0,41.8971181,-87.6255019
,Townhouse,213 W 24th Pl,Chicago,IL,60616.0,565000.0,5.0,2.5,,,1969.0,191.0,,,41.8480821,-87.6325382
